date,value
2020-01-02,72.40052032470703
2020-01-03,71.69662475585938
2020-01-06,72.26793670654297
2020-01-07,71.92803955078125
2020-01-08,73.08511352539062
2020-01-09,74.63751220703125
2020-01-10,74.80622863769531
2020-01-13,76.40442657470703
2020-01-14,75.37269592285156
2020-01-15,75.04969787597656
2020-01-16,75.98982238769531
2020-01-17,76.83109283447266
2020-01-21,76.31041717529297
2020-01-22,76.58279418945312
2020-01-23,76.95160675048828
2020-01-24,76.72986602783203
2020-01-27,74.47359466552734
2020-01-28,76.58041381835938
2020-01-29,78.18338775634766
2020-01-30,78.07010650634766
2020-01-31,74.60858917236328
2020-02-03,74.40367889404297
2020-02-04,76.8600082397461
2020-02-05,77.48674774169922
2020-02-06,78.39310455322266
2020-02-07,77.3275375366211
2020-02-10,77.69479370117188
2020-02-11,77.22606658935547
2020-02-12,79.06002044677734
2020-02-13,78.49703979492188
2020-02-14,78.51634979248047
2020-02-18,77.07867431640625
2020-02-19,78.1949691772461
2020-02-20,77.39277648925781
2020-02-21,75.6410140991211
2020-02-24,72.04801177978516
2020-02-25,69.60758972167969
2020-02-26,70.71183013916016
2020-02-27,66.08953094482422
2020-02-28,66.05084991455078
2020-03-02,72.20023345947266
2020-03-03,69.90721130371094
2020-03-04,73.14981842041016
2020-03-05,70.7770767211914
2020-03-06,69.83714294433594
2020-03-09,64.31358337402344
2020-03-10,68.94554901123047
2020-03-11,66.55103302001953
2020-03-12,59.978797912597656
2020-03-13,67.16474151611328
2020-03-16,58.52421951293945
2020-03-17,61.097530364990234
2020-03-18,59.60186004638672
2020-03-19,59.14518737792969
2020-03-20,55.39031982421875
2020-03-23,54.2136116027832
2020-03-24,59.65260696411133
2020-03-25,59.32399368286133
2020-03-26,62.44580078125
2020-03-27,59.86040115356445
2020-03-30,61.568702697753906
2020-03-31,61.443058013916016
2020-04-01,58.21010208129883
2020-04-02,59.181427001953125
2020-04-03,58.330909729003906
2020-04-06,63.41953659057617
2020-04-07,62.68501663208008
2020-04-08,64.28941345214844
2020-04-09,64.75333404541016
2020-04-13,66.0242691040039
2020-04-14,69.35871124267578
2020-04-15,68.72565460205078
2020-04-16,69.27173614501953
2020-04-17,68.3318099975586
2020-04-20,66.91346740722656
2020-04-21,64.84516906738281
2020-04-22,66.71293640136719
2020-04-23,66.45438385009766
2020-04-24,68.37287902832031
2020-04-27,68.42121887207031
2020-04-28,67.3121566772461
2020-04-29,69.52302551269531
2020-04-30,70.98968505859375
2020-05-01,69.84681701660156
2020-05-04,70.83506774902344
2020-05-05,71.898193359375
2020-05-06,72.6399917602539
2020-05-07,73.3914566040039
2020-05-08,75.13829803466797
2020-05-11,76.32062530517578
2020-05-12,75.44843292236328
2020-05-13,74.53744506835938
2020-05-14,74.99535369873047
2020-05-15,74.55196380615234
2020-05-18,76.30852508544922
2020-05-19,75.86754608154297
2020-05-20,77.34304809570312
2020-05-21,76.76640319824219
2020-05-22,77.26068115234375
2020-05-26,76.73734283447266
2020-05-27,77.07170867919922
2020-05-28,77.10560607910156
2020-05-29,77.03050994873047
2020-06-01,77.97779846191406
2020-06-02,78.33882141113281
2020-06-03,78.77005767822266
2020-06-04,78.09168243408203
2020-06-05,80.31582641601562
2020-06-08,80.7906723022461
2020-06-09,83.3418960571289
2020-06-10,85.48607635498047
2020-06-11,81.38184356689453
2020-06-12,82.08447265625
2020-06-15,83.09962463378906
2020-06-16,85.30194091796875
2020-06-17,85.18323516845703
2020-06-18,85.21715545654297
2020-06-19,84.73015594482422
2020-06-22,86.947021484375
2020-06-23,88.80289459228516
2020-06-24,87.23534393310547
2020-06-25,88.3934097290039
2020-06-26,85.67747497558594
2020-06-29,87.65204620361328
2020-06-30,88.38372039794922
2020-07-01,88.21656799316406
2020-07-02,88.21656799316406
2020-07-06,90.57637023925781
2020-07-07,90.29532623291016
2020-07-08,92.39833068847656
2020-07-09,92.7956771850586
2020-07-10,92.9579849243164
2020-07-13,92.52914428710938
2020-07-14,94.06036376953125
2020-07-15,94.70724487304688
2020-07-16,93.54190063476562
2020-07-17,93.35291290283203
2020-07-20,95.3202133178711
2020-07-21,94.00464630126953
2020-07-22,94.26873016357422
2020-07-23,89.97794342041016
2020-07-24,89.7550277709961
2020-07-27,91.88226318359375
2020-07-28,90.37286376953125
2020-07-29,92.10516357421875
2020-07-30,93.21965789794922
2020-07-31,102.97869873046875
2020-08-03,105.573486328125
2020-08-04,106.2785415649414
2020-08-05,106.66375732421875
2020-08-06,110.38518524169922
2020-08-07,107.87548828125
2020-08-10,109.44342803955078
2020-08-11,106.18861389160156
2020-08-12,109.71771240234375
2020-08-13,111.6594467163086
2020-08-14,111.5599594116211
2020-08-17,111.2686767578125
2020-08-18,112.19584655761719
2020-08-19,112.33663177490234
2020-08-20,114.829345703125
2020-08-21,120.74675750732422
2020-08-24,122.19092559814453
2020-08-25,121.18851470947266
2020-08-26,122.83654022216797
2020-08-27,121.36813354492188
2020-08-28,121.17152404785156
2020-08-31,125.28067779541016
2020-09-01,130.2709503173828
2020-09-02,127.57196807861328
2020-09-03,117.35845184326172
2020-09-04,117.43608856201172
2020-09-08,109.53325653076172
2020-09-09,113.90215301513672
2020-09-10,110.18372344970703
2020-09-11,108.73712921142578
2020-09-14,111.9992446899414
2020-09-15,112.17401123046875
2020-09-16,108.86334991455078
2020-09-17,107.12550354003906
2020-09-18,103.72744750976562
2020-09-21,106.8730697631836
2020-09-22,108.55268096923828
2020-09-23,103.99932098388672
2020-09-24,105.06725311279297
2020-09-25,109.00897979736328
2020-09-28,111.61090087890625
2020-09-29,110.7662353515625
2020-09-30,112.4361343383789
2020-10-01,113.38758087158203
2020-10-02,109.72740936279297
2020-10-05,113.10602569580078
2020-10-06,109.86335754394531
2020-10-07,111.72740173339844
2020-10-08,111.62060546875
2020-10-09,113.56234741210938
2020-10-12,120.77588653564453
2020-10-13,117.57203674316406
2020-10-14,117.65941619873047
2020-10-15,117.19339752197266
2020-10-16,115.55262756347656
2020-10-19,112.60118865966797
2020-10-20,114.08661651611328
2020-10-21,113.46526336669922
2020-10-22,112.37788391113281
2020-10-23,111.6885757446289
2020-10-26,111.69828033447266
2020-10-27,113.203125
2020-10-28,107.9604263305664
2020-10-29,111.96043395996094
2020-10-30,105.6886215209961
2020-11-02,105.60123443603516
2020-11-03,107.22258758544922
2020-11-04,111.6011962890625
2020-11-05,115.56233978271484
2020-11-06,115.43106842041016
2020-11-09,113.1261215209961
2020-11-10,112.78572845458984
2020-11-11,116.20909118652344
2020-11-12,115.936767578125
2020-11-13,115.98539733886719
2020-11-16,116.99684143066406
2020-11-17,116.11182403564453
2020-11-18,114.78916931152344
2020-11-19,115.3824234008789
2020-11-20,114.11810302734375
2020-11-23,110.72394561767578
2020-11-24,112.00769805908203
2020-11-25,112.84407806396484
2020-11-27,113.38868713378906
2020-11-30,115.78115844726562
2020-12-01,119.35037231445312
2020-12-02,119.70050811767578
2020-12-03,119.56436157226562
2020-12-04,118.89329528808594
2020-12-07,120.35211944580078
2020-12-08,120.96479797363281
2020-12-09,118.43618774414062
2020-12-10,119.85612487792969
2020-12-11,119.04891204833984
2020-12-14,118.43618774414062
2020-12-15,124.36869812011719
2020-12-16,124.3006362915039
2020-12-17,125.16620635986328
2020-12-18,123.18220520019531
2020-12-21,124.7090835571289
2020-12-22,128.2588653564453
2020-12-23,127.36414337158203
2020-12-24,128.34642028808594
2020-12-28,132.93679809570312
2020-12-29,131.16676330566406
2020-12-30,130.04835510253906
2020-12-31,129.04664611816406
2021-01-04,125.85668182373047
2021-01-05,127.41275787353516
2021-01-06,123.12385559082031
2021-01-07,127.32524108886719
2021-01-08,128.42420959472656
2021-01-11,125.43849182128906
2021-01-12,125.2634506225586
2021-01-13,127.29607391357422
2021-01-14,125.37043762207031
2021-01-15,123.64901733398438
2021-01-19,124.320068359375
2021-01-20,128.40480041503906
2021-01-21,133.11187744140625
2021-01-22,135.25148010253906
2021-01-25,138.99574279785156
2021-01-26,139.22914123535156
2021-01-27,138.15936279296875
2021-01-28,133.32579040527344
2021-01-29,128.336669921875
2021-02-01,130.4568328857422
2021-02-02,131.2834930419922
2021-02-03,130.26234436035156
2021-02-04,133.6175994873047
2021-02-05,133.20362854003906
2021-02-08,133.34974670410156
2021-02-09,132.47312927246094
2021-02-10,131.8692626953125
2021-02-11,131.61605834960938
2021-02-12,131.8497772216797
2021-02-16,129.7264862060547
2021-02-17,127.43759155273438
2021-02-18,126.33696746826172
2021-02-19,126.49279022216797
2021-02-22,122.72344970703125
2021-02-23,122.58708953857422
2021-02-24,122.09033966064453
2021-02-25,117.84374237060547
2021-02-26,118.10669708251953
2021-03-01,124.46687316894531
